"Ordinary Parcel","Ordinary Parcel"
"Declared Parcel","Declared Parcel"
"Simple Wrapper","Simple Wrapper"
"Registered Wrapper","Registered Wrapper"
"Declared Wrapper","Declared Wrapper"
"Priority Simple Wrapper","Priority Simple Wrapper"
"Priority Registered Wrapper","Priority Registered Wrapper"
"Priority Declared Wrapper","Priority Declared Wrapper"
"Simple Letter","Simple Letter"
"Registered Letter","Registered Letter"
"Declared Letter","Declared Letter"
"Priority Simple Letter","Priority Simple Letter"
"Priority Registered Letter","Priority Registered Letter"
"Priority Declared Letter","Priority Declared Letter"
"Letter","Letter"
"Priority Letter","Priority Letter"
"Wrapper","Wrapper"
"Priority Wrapper","Priority Wrapper"
"Parcel","Parcel"
"Merchant","Merchant"
"Buyer","Buyer"
"Ground","Ground"
"Air","Air"
"Not Set","Not Set"
"From Door","From Door"
"From Door to Door","From Door to Door"
"To Door","To Door"
"Legal Entity","Legal Entity"
"Natural Person","Natural Person"
