"Ordinary Parcel","Обычная посылка"
"Declared Parcel","Посылка с объявленной стоимостью"
"Simple Wrapper","Простая бандероль"
"Registered Wrapper","Рекомендуемая бандероль"
"Declared Wrapper","Бандероль с объявленной стоимостью"
"Priority Simple Wrapper","Приоритетная простая бандероль"
"Priority Registered Wrapper","Приоритетная рекомендуемая бандероль"
"Priority Declared Wrapper","Приоритетная бандероль с объявленной стоимостью"
"Simple Letter","Простое письмо"
"Registered Letter","Рекомендуемое письмо"
"Declared Letter","Письмо с объвленной стоимостью"
"Priority Simple Letter","Приоритетное простое письмо"
"Priority Registered Letter","Приоритетное рекомендуемое письмо"
"Priority Declared Letter","Приоритетное письмо с объвленной стоимостью"
"Letter","Письмо"
"Priority Letter","Приоритетное письмо"
"Wrapper","Бандероль"
"Priority Wrapper","Приоритетная бандероль"
"Parcel","Посылка"
"Merchant","Продавец"
"Buyer","Покупатель"
"Ground","Наземный"
"Air","Авиа"
"Not Set","Не задан"
"From Door","От двери"
"From Door to Door","От двери к двери"
"To Door","До двери"
"Legal Entity","Юридическое лицо"
"Natural Person","Физическое лицо"
